name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,state
Alexandria / Green Gables,US,LA,,KESF,31.3949,-92.2958,34.0,America/Chicago,1941-07-01,2023-11-04,1941-09-11,2022-04-24,1943-01-01,2021-01-01,LA
Lafayette / Walroy,US,LA,,KLFT,30.2052,-91.9876,13.0,America/Chicago,1945-10-01,2023-11-04,1945-10-02,2022-04-24,1945-01-01,2022-01-01,LA
Monroe / Magenta,US,LA,,KMLU,32.5109,-92.0377,24.0,America/Chicago,1942-10-01,2023-11-04,1942-10-02,2022-04-24,1943-01-01,2022-01-01,LA
New Orleans / Concession,US,LA,,KNBG,29.8272,-90.0266,1.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1981-01-01,2019-01-01,LA
New Orleans / Seabrook,US,LA,,KNEW,30.0424,-90.0282,2.0,America/Chicago,1942-09-01,2023-11-04,1942-09-02,2022-04-24,1942-01-01,2022-01-01,LA
Otis Air National Guard Base,US,MA,72506,KFMH,41.65,-70.5167,40.0,America/New_York,2006-01-01,2023-11-04,1949-01-01,2022-04-25,1949-01-01,2021-01-01,MA
Boston Logan International,US,MA,72509,KBOS,42.3667,-71.0167,6.0,America/New_York,1943-11-21,2023-11-04,1936-01-01,2023-10-31,1936-01-01,2022-01-01,MA
Worcester / West Tatnuck,US,MA,72510,KORH,42.2673,-71.8757,308.0,America/New_York,1973-01-01,2023-11-04,1948-06-01,2023-10-31,1948-01-01,2022-01-01,MA
Bedford Hanscom Field,US,MA,74490,KBED,42.4667,-71.3,41.0,America/New_York,2006-01-01,2023-11-04,1949-01-01,2023-10-30,1949-01-01,2022-01-01,MA
Chicopee Falls / Westover Air Force Base,US,MA,74491,KCEF,42.2,-72.5333,75.0,America/New_York,1941-04-01,2023-11-04,1941-06-06,2022-04-25,1941-01-01,2021-01-01,MA
Blue Hill Obs. Ma.,US,MA,74492,,42.2167,-71.1167,195.0,America/New_York,,,1998-04-01,2023-08-31,1976-01-01,2022-01-01,MA
Nantucket / Surfside,US,MA,74493,KACK,41.2531,-70.0603,14.0,America/New_York,1990-03-14,2023-11-04,1997-06-23,2022-04-25,2005-01-01,2021-01-01,MA
Chatham,US,MA,74494,KCHH,41.6667,-69.9667,14.0,America/New_York,1973-01-01,1995-03-21,1972-08-01,2021-03-31,1972-01-01,2021-01-01,MA
Westfield / Owen District,US,MA,,KBAF,42.1577,-72.7156,82.0,America/New_York,1973-01-05,2023-11-04,1998-08-08,2022-04-24,2005-01-01,2022-01-01,MA
Orange / Partridgeville,US,MA,,KORE,42.5701,-72.2886,169.0,America/New_York,1996-08-09,2023-11-04,1996-08-11,2022-04-24,2005-01-01,2022-01-01,MA
Salisbury / Quail Ridge,US,MD,72398,KSBY,38.3402,-75.5095,16.0,America/New_York,2005-01-01,2023-11-04,1948-07-20,2023-10-31,1948-01-01,2022-01-01,MD
Nas Patuxent River Md,US,MD,72404,KNHK,38.3,-76.0667,12.0,America/New_York,1945-03-01,2023-11-04,1945-03-01,2023-10-30,1945-01-01,2022-01-01,MD
Baltimore-Washington International,US,MD,72406,KBWI,39.1667,-76.6833,45.0,America/New_York,1945-01-01,2023-11-04,1939-07-01,2023-10-31,1939-01-01,2022-01-01,MD
Camp Springs / Andrews Air Force Base,US,MD,74594,KADW,38.8167,-76.85,86.0,America/New_York,1943-06-19,2023-11-04,1943-07-04,2022-04-25,1943-01-01,2021-01-01,MD
Fort Meade / Ft Meade / Portland Station (Historical),US,MD,,KFME,39.0854,-76.7594,46.0,America/New_York,1959-11-13,2023-11-04,1959-11-14,2022-04-24,1959-01-01,2022-01-01,MD
Portland International  Jetport,US,ME,72606,KPWM,43.65,-70.1333,23.0,America/New_York,1973-01-01,2023-11-04,1940-11-07,2023-10-31,1940-01-01,2022-01-01,ME
Bangor / Martells Mobile Home Court,US,ME,72607,KBGR,44.8074,-68.8281,59.0,America/New_York,2010-08-01,2023-11-04,1953-01-01,2023-10-31,1953-01-01,2022-01-01,ME
Greenville,US,ME,72619,KGNR,45.463,-69.5516,427.0,America/New_York,2006-01-01,2023-11-04,1920-01-01,2023-10-31,1920-01-01,2021-01-01,ME
Caribou Municipal Airport,US,ME,72712,KCAR,46.8667,-68.0167,191.0,America/New_York,1973-01-01,2023-11-04,1939-01-16,2023-10-31,1939-01-01,2022-01-01,ME
Presque Isle,US,ME,72713,KPQI,46.6833,-68.05,163.0,America/New_York,1941-11-01,2023-11-04,1941-11-02,2022-04-25,1942-01-01,2022-01-01,ME
"Gray, Me.",US,ME,74389,KGYX,43.9,-70.25,125.0,America/New_York,,,1995-10-01,2023-11-01,1995-01-01,2022-01-01,ME
Augusta,US,ME,,KAUG,44.3206,-69.7973,107.0,America/New_York,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1974-01-01,2022-01-01,ME
Millinocket / Little Italy,US,ME,,KMLT,45.6478,-68.6856,124.0,America/New_York,1943-03-01,2023-11-04,1943-03-02,2022-04-24,1943-01-01,2022-01-01,ME
Detroit Metropolitan,US,MI,72537,KDTW,42.2333,-83.0,195.0,America/Detroit,1942-08-01,2023-11-04,1942-08-01,2023-11-01,1942-01-01,2022-01-01,MI
Capital City Airport,US,MI,72539,KLAN,42.7833,-84.5833,262.0,America/Detroit,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,MI
Spickard,US,MI,72540,KP35,40.25,-93.7167,271.0,America/Chicago,,,1957-03-17,2023-10-31,1957-01-01,2022-01-01,MI
"Gaylord, Mi.",US,MI,72634,KAPX,44.9167,-84.7167,446.0,America/Detroit,1973-01-01,2001-05-02,1998-08-01,2023-10-31,1998-01-01,2022-01-01,MI
Gerald R. Ford International,US,MI,72635,KGRR,42.8833,-85.5167,242.0,America/Detroit,1973-01-01,2023-11-04,1963-11-24,2023-10-31,1963-01-01,2022-01-01,MI
Muskegon County Airport,US,MI,72636,KMKG,43.1667,-86.2333,191.0,America/Detroit,1973-01-01,2023-11-04,1896-06-02,2023-10-31,1896-01-01,2022-01-01,MI
Flint Bishop International  Airport,US,MI,72637,KFNT,42.9667,-83.0833,238.0,America/Detroit,1973-01-01,2023-11-04,1948-05-02,2023-10-31,1948-01-01,2022-01-01,MI
Roscommon County Airport,US,MI,72638,KHTL,44.35,-84.6667,351.0,America/Detroit,1973-01-01,2023-11-04,1964-07-01,2023-10-31,1964-01-01,2022-01-01,MI
Alpena County Regional Airport,US,MI,72639,KAPN,45.0833,-83.5667,210.0,America/Detroit,1973-01-01,2023-11-04,1916-10-21,2023-10-31,1916-01-01,2022-01-01,MI
Escanaba,US,MI,72648,KESC,45.75,-87.0333,180.0,America/Detroit,2006-01-01,2023-11-04,1871-05-25,2023-11-01,1948-01-01,2022-01-01,MI
Sault Ste. Marie Muni,US,MI,72734,KANJ,46.4833,-84.35,218.0,America/Detroit,1973-01-01,2023-11-04,1931-01-01,2023-10-31,1931-01-01,2022-01-01,MI
Marquette,US,MI,72743,KMQT,46.5333,-87.55,434.0,America/Detroit,1973-01-01,2023-09-10,1857-09-01,2023-11-01,1857-01-01,2022-01-01,MI
Hancock Houghton Cty. Memo,US,MI,72744,KCMX,47.1667,-88.4833,334.0,America/Detroit,1973-01-01,2023-11-04,1948-01-01,2023-10-30,1948-01-01,2022-01-01,MI
Battle Creek / Avenue A Mobile Home Estates,US,MI,,KBTL,42.3073,-85.2515,290.0,America/Detroit,1942-10-01,2023-11-04,1942-11-02,2022-04-24,1942-01-01,2022-01-01,MI
Cadillac / Cadillac Leisure Mobile Home Community,US,MI,,KCAD,44.2753,-85.4189,398.0,America/Detroit,1990-07-24,2023-11-04,1993-12-02,2022-04-24,2005-01-01,2022-01-01,MI
Detroit / Hamtramck,US,MI,,KDET,42.4092,-83.0099,191.0,America/Detroit,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1981-01-01,2022-01-01,MI
Jackson / Coffman Trailer Court,US,MI,,KJXN,42.2604,-84.4604,305.0,America/Detroit,1973-01-01,2023-11-04,1973-01-03,2022-04-24,2000-01-01,2022-01-01,MI
Saginaw / Falconview Estates Mobile Home Park,US,MI,,KMBS,43.5329,-84.0796,204.0,America/Detroit,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1974-01-01,2022-01-01,MI
Oscoda / Whispering Woods Mobile Home Community,US,MI,,KOSC,44.4515,-83.3942,193.0,America/Detroit,1943-07-01,2023-11-04,1943-07-02,2022-04-25,1943-01-01,2022-01-01,MI
Pellston,US,MI,,KPLN,45.5709,-84.7967,220.0,America/Detroit,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2000-01-01,2021-01-01,MI
Traverse City / Treverse City [Misspelling] / Town And Country Mobile Village,US,MI,,KTVC,44.7416,-85.5824,190.0,America/Detroit,1973-01-01,2023-11-04,1973-01-02,2022-04-24,1981-01-01,2022-01-01,MI
Detroit / Denton,US,MI,,KYIP,42.2393,-83.531,218.0,America/Detroit,1973-01-01,2023-11-04,1973-01-03,2022-04-24,2005-01-01,2022-01-01,MI
Rochester International Airport,US,MN,72644,KRST,43.9,-92.5,401.0,America/Chicago,1973-01-01,2023-11-04,1893-01-18,2023-10-31,1893-01-01,2022-01-01,MN
Saint Cloud / St Cloud / Cable,US,MN,72655,KSTC,45.5466,-94.0599,314.0,America/Chicago,1973-01-01,2023-11-04,1904-09-01,2023-10-31,1904-01-01,2022-01-01,MN
Minneapolis-St Paul International,US,MN,72658,KMSP,44.8667,-93.05,256.0,America/Chicago,1945-01-01,2023-11-04,1938-04-09,2023-10-31,1938-01-01,2022-01-01,MN
Duluth International Airport,US,MN,72745,KDLH,46.8333,-92.2167,435.0,America/Chicago,1948-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,MN
Falls International Airport,US,MN,72747,KINL,48.5667,-93.4,361.0,America/Chicago,1973-01-01,2023-11-04,1906-07-01,2023-10-31,1906-01-01,2022-01-01,MN
Bemidji,US,MN,72755,KBJI,47.5,-94.9333,423.0,America/Chicago,2006-01-01,2023-11-04,1896-02-01,2023-10-31,1896-01-01,2022-01-01,MN
Alexandria / Mobile Park Estates,US,MN,,KAXN,45.8663,-95.3947,434.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1999-01-01,2022-01-01,MN
Baudette,US,MN,,KBDE,48.7284,-94.6122,331.0,America/Chicago,1983-11-04,2023-11-04,1995-02-11,2022-04-24,1998-01-01,2022-01-01,MN
Hibbing-Chisholm / Wilpen,US,MN,,KHIB,47.3866,-92.839,413.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1973-01-01,2022-01-01,MN
Park Rapids,US,MN,,KPKD,46.9007,-95.0731,440.0,America/Chicago,1990-01-11,2023-11-04,1995-07-05,2022-04-24,1998-01-01,2022-01-01,MN
Saint Paul,US,MN,,KSTP,44.9346,-93.0603,215.0,America/Chicago,1983-11-03,2023-11-04,1991-12-16,2022-04-24,2005-01-01,2022-01-01,MN
Poplar Bluff / Green Forest,US,MO,72330,KP02,36.7667,-90.4667,146.0,America/Chicago,2006-01-01,2023-09-10,1997-12-12,2023-10-31,1998-01-01,2022-01-01,MO
"West Plains, Mo",US,MO,72348,,36.7333,-91.85,307.0,America/Chicago,,,1948-07-01,2023-11-01,1948-01-01,2022-01-01,MO
Monette Mo.,US,MO,72349,,36.8833,-93.9,437.0,America/Chicago,,,1972-09-01,2023-11-01,1972-01-01,2022-01-01,MO
Springfield-Branson National,US,MO,72440,KSGF,37.2333,-93.05,386.0,America/Chicago,1973-01-01,2023-11-04,1940-08-01,2023-10-31,1940-01-01,2022-01-01,MO
Rolla / Vichy,US,MO,72442,KVIH,38.1274,-91.7695,350.0,America/Chicago,2005-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,MO
Columbia Regional Airport,US,MO,72445,KCOU,38.8167,-92.2167,271.0,America/Chicago,1973-01-01,2023-11-04,1969-11-01,2023-10-30,1965-01-01,2022-01-01,MO
Kansas City International Airport,US,MO,72446,KMCI,39.2972,-94.7306,313.0,America/Chicago,1973-01-01,2023-11-04,1972-10-01,2023-10-31,1972-01-01,2022-01-01,MO
Rosecrans Memorial Airport,US,MO,72449,KSTJ,39.7667,-94.0833,252.0,America/Chicago,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,MO
"Conway, Mo.",US,MO,74550,KTBN,37.5167,-92.7,390.0,America/Chicago,1963-03-20,2023-11-04,1963-03-21,2022-04-21,1963-01-01,2022-01-01,MO
Cape Girardeau / Scott City,US,MO,,KCGI,37.2253,-89.5708,104.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1975-01-01,2021-01-01,MO
Farmington,US,MO,,KFAM,37.761,-90.4286,288.0,America/Chicago,1995-02-10,2023-11-04,1995-02-11,2022-04-24,2006-01-01,2021-01-01,MO
Kansas City,US,MO,,KGVW,38.8442,-94.5603,0.0,America/Chicago,1954-03-27,2023-11-04,1954-03-28,2022-04-24,1954-01-01,1977-01-01,MO
Kirksville / Millard,US,MO,,KIRK,40.0935,-92.5449,294.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2004-01-01,2022-01-01,MO
Joplin / Airport Drive,US,MO,,KJLN,37.1518,-94.4983,299.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1999-01-01,2021-01-01,MO
Kansas City / Harlem,US,MO,,KMKC,39.1232,-94.5928,230.0,America/Chicago,1990-02-08,2023-11-04,1990-02-09,2022-04-24,2005-01-01,2021-01-01,MO
St Louis / St. Louis / Stevens,US,MO,,KSUS,38.6621,-90.6521,141.0,America/Chicago,1973-01-01,2023-11-04,1986-11-08,2022-04-24,1987-01-01,2021-01-01,MO
Knob Noster / Whiteman Air Force Base,US,MO,,KSZL,38.7303,-93.548,265.0,America/Chicago,1942-12-02,2023-11-04,1942-12-02,2022-04-24,1943-01-01,2021-01-01,MO
Meridian Key Field,US,MS,72234,KMEI,32.3333,-88.75,91.0,America/Chicago,1942-03-01,2023-11-04,1942-03-01,2023-10-31,1942-01-01,2022-01-01,MS
Jackson Airport,US,MS,72235,KJAN,32.3167,-90.0667,105.0,America/Chicago,1942-09-01,2023-11-04,1942-09-01,2023-10-31,1942-01-01,2022-01-01,MS
Tupelo Regional Airport,US,MS,72332,KTUP,34.2667,-88.1,105.0,America/Chicago,1992-01-01,2023-11-04,1962-11-08,2023-10-31,1962-01-01,2022-01-01,MS
Jackson / Northwest Hills,US,MS,72419,KHKS,32.3348,-90.2225,104.0,America/Chicago,2005-01-01,2023-11-04,1981-01-01,2023-10-31,1981-01-01,2022-01-01,MS
Gulfport / Kathy Mobile Park,US,MS,74757,KGPT,30.4073,-89.0701,9.0,America/Chicago,2005-01-01,2023-11-04,1998-08-08,2023-10-31,1998-01-01,2022-01-01,MS
Greenville / Brighton,US,MS,74768,KGLH,33.4829,-90.9856,40.0,America/Chicago,2005-01-01,2023-11-04,1958-06-01,2022-04-25,1959-01-01,2022-01-01,MS
Biloxi / B And H Mobile Home Park,US,MS,,KBIX,30.4104,-88.9244,10.0,America/Chicago,1942-05-09,2023-11-04,1942-05-10,2022-04-24,1942-01-01,2021-01-01,MS
Columbus / Columbus Air Force Base,US,MS,,KCBM,33.6452,-88.4459,66.0,America/Chicago,1942-03-01,2023-11-04,1942-03-02,2022-04-24,1942-01-01,2021-01-01,MS
McComb / Fernwood,US,MS,,KMCB,31.1784,-90.4719,126.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2001-01-01,2022-01-01,MS
Meridian / Kemper Springs,US,MS,,KNMM,32.5535,-88.5553,96.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1981-01-01,2021-01-01,MS
Olive Branch / Bleak (Historical),US,MS,,KOLV,34.9787,-89.7869,123.0,America/Chicago,1941-10-13,2023-11-04,1941-10-14,2022-04-24,1942-01-01,2022-01-01,MS
Logan International Airport,US,MT,72677,KBIL,45.8167,-108.55,1112.0,America/Denver,1935-05-01,2023-11-04,1935-05-01,2023-10-31,1935-01-01,2022-01-01,MT
Glasgow International Airport,US,MT,72768,KGGW,48.2167,-106.6167,699.0,America/Denver,1942-12-10,2023-11-04,1942-12-10,2023-10-31,1943-01-01,2022-01-01,MT
Cut Bank / Little Browning,US,MT,72769,KCTB,48.6084,-112.3761,1176.0,America/Denver,2005-01-01,2023-11-04,1903-12-01,2023-10-31,1903-01-01,2022-01-01,MT
Dillon / Bishop Place,US,MT,72770,KDLN,45.2554,-112.5525,1599.0,America/Denver,1973-01-01,2023-11-04,1940-01-01,2023-10-31,1940-01-01,2022-01-01,MT
Helena Regional Airport,US,MT,72772,KHLN,46.6,-111.9667,1180.0,America/Denver,1973-01-01,2023-11-04,1938-04-01,2023-10-31,1938-01-01,2022-01-01,MT
Missoula International Airport,US,MT,72773,KMSO,46.9167,-114.1,976.0,America/Denver,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,MT
Butte / Valley Vista Mobile Home Community,US,MT,72774,KBTM,45.9548,-112.4975,1692.0,America/Denver,1977-03-01,2023-11-04,1894-04-02,2023-10-31,1894-01-01,2022-01-01,MT
Great Falls International,US,MT,72775,KGTF,47.4667,-111.3833,1120.0,America/Denver,1973-01-01,2023-11-04,1937-04-01,2023-10-31,1937-01-01,2022-01-01,MT
Havre City-County Airport,US,MT,72777,KHVR,48.55,-109.7667,789.0,America/Denver,1973-01-01,2023-11-04,1961-02-01,2023-10-31,1961-01-01,2022-01-01,MT
Glacier Park International  Airport,US,MT,72779,KGPI,48.3,-114.2667,906.0,America/Denver,1973-01-01,2023-11-04,1896-06-01,2023-10-31,1896-01-01,2022-01-01,MT
Miles City,US,MT,74230,KMLS,46.4333,-105.8833,801.0,America/Denver,1984-01-01,2023-11-04,1937-01-16,2023-10-31,1937-01-01,2022-01-01,MT
Bozeman / Belgrade Village Mobile Home Park,US,MT,,KBZN,45.7776,-111.152,1363.0,America/Denver,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1999-01-01,2022-01-01,MT
Great Falls / Malmstrom Air Force Base,US,MT,,KGFA,47.5047,-111.1873,1058.0,America/Denver,1942-12-01,2023-11-04,1942-12-02,2022-04-24,1943-01-01,2020-01-01,MT
Livingston / Urback Place,US,MT,,KLVM,45.6994,-110.4483,1420.0,America/Denver,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2000-01-01,2021-01-01,MT
Lewistown / Lewlistown [Misspelling] / Lewistown Heights,US,MT,,KLWT,47.0493,-109.4667,1271.0,America/Denver,1942-04-01,2023-11-04,1942-04-02,2022-04-24,1942-01-01,2022-01-01,MT
Hickory / Longview,US,NC,72301,KHKY,35.7411,-81.3895,363.0,America/New_York,2005-01-01,2023-11-04,1949-01-01,2023-10-31,1949-01-01,2022-01-01,NC
Wilmington / The Palms Mobile Home Park,US,NC,72302,KILM,34.2706,-77.9026,10.0,America/New_York,1991-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,NC
Pope Air Force Base,US,NC,72303,KPOB,35.1667,-79.0333,61.0,America/New_York,1937-07-03,2023-11-04,1937-07-08,2022-04-25,1937-01-01,2022-01-01,NC
Cape Hatteras,US,NC,72304,KHAT,35.2667,-75.55,2.0,America/New_York,,,1957-03-01,2023-10-31,1951-01-01,2022-01-01,NC
Raleigh-Durham International  Airport,US,NC,72306,KRDU,35.9,-78.7667,133.0,America/New_York,1945-11-01,2023-11-04,1944-05-18,2023-10-31,1944-01-01,2022-01-01,NC
Elizabeth City / Hickory Village - Mobile Home Park,US,NC,72307,KECG,36.2606,-76.1746,3.0,America/New_York,1990-03-14,2023-11-04,1948-09-01,2023-10-31,1948-01-01,2022-01-01,NC
"Cherry Point, Marine Corps Air Station",US,NC,72309,KNKT,34.8833,-76.8667,8.0,America/New_York,1973-01-01,2023-11-04,1945-03-01,2023-06-20,1945-01-01,2022-01-01,NC
Charlotte/Douglas International Airport,US,NC,72314,KCLT,35.214,-80.9431,228.0,America/New_York,1941-07-22,2023-11-04,1939-07-01,2023-10-31,1939-01-01,2022-01-01,NC
Asheville Regional Airport,US,NC,72315,KAVL,35.4333,-82.0333,660.0,America/New_York,1973-01-01,2023-11-04,1946-01-01,2023-10-31,1946-01-01,2022-01-01,NC
Piedmont Triad International  Airport,US,NC,72317,KGSO,36.1,-79.95,282.0,America/New_York,1945-11-01,2023-11-04,1928-11-01,2023-10-31,1928-01-01,2022-01-01,NC
Fort Bragg / Simmons Army Airfield,US,NC,74693,KFBG,35.1333,-78.9333,74.0,America/New_York,1961-07-01,2023-11-04,1961-07-01,2022-04-25,1961-01-01,2022-01-01,NC
New Bern / Circle L Mobile Home Park,US,NC,,KEWN,35.073,-77.0429,6.0,America/New_York,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1999-01-01,2022-01-01,NC
Goldsboro / Sandy Springs,US,NC,,KGSB,35.3394,-77.9606,33.0,America/New_York,1943-06-01,2023-11-04,1943-08-12,2022-04-24,1943-01-01,2021-01-01,NC
Hatteras / Frisco,US,NC,,KHSE,35.2328,-75.6178,5.0,America/New_York,1996-01-01,2023-11-04,1996-01-01,2022-04-24,1996-01-01,2021-01-01,NC
Jacksonville / Montford Point,US,NC,,KNCA,34.7084,-77.4397,8.0,America/New_York,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1981-01-01,2021-01-01,NC
Swansboro / Bogue,US,NC,,KNJM,34.6905,-77.0297,7.0,America/New_York,1987-05-04,2023-11-04,1992-05-07,2022-04-24,2008-01-01,2021-01-01,NC
Hector International Airport,US,ND,72753,KFAR,46.9333,-96.8167,274.0,America/Chicago,1948-01-01,2023-11-04,1891-05-19,2023-10-31,1891-01-01,2022-01-01,ND
Dickinson / Eland,US,ND,72763,KDIK,46.7973,-102.8019,790.0,America/Denver,2005-01-01,2023-11-04,1938-11-14,2023-10-31,1948-01-01,2022-01-01,ND
Bismarck Municipal Airport,US,ND,72764,KBIS,46.7833,-100.75,511.0,America/Chicago,1936-07-01,2023-11-04,1936-07-01,2023-10-31,1936-01-01,2022-01-01,ND
Sloulin Field International  Airport,US,ND,72767,KISN,48.1833,-103.65,604.0,America/Chicago,1973-01-01,2019-10-18,1894-01-01,2019-12-29,1894-01-01,2019-01-01,ND
Jamestown,US,ND,,KJMS,46.9297,-98.6782,457.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2000-01-01,2022-01-01,ND
Minot / Minot Air Force Base,US,ND,,KMIB,48.4158,-101.358,508.0,America/Chicago,1959-10-01,2023-11-04,1959-10-02,2022-04-24,1959-01-01,2022-01-01,ND
Minot,US,ND,,KMOT,48.2576,-101.278,523.0,America/Chicago,1973-01-01,2023-11-04,1973-01-01,2022-04-24,1973-01-01,2022-01-01,ND
Omaha Eppley Airfield,US,NE,72550,KOMA,41.3,-95.9,300.0,America/Chicago,1975-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,NE
Lincoln Municipal Airport,US,NE,72551,KLNK,40.8333,-96.7647,372.0,America/Chicago,1942-10-01,2023-11-04,1942-10-01,2023-10-31,1942-01-01,2022-01-01,NE
Central Nebraska Regional,US,NE,72552,KGRI,40.9667,-98.15,563.0,America/Chicago,1944-03-01,2023-11-04,1938-03-21,2023-10-31,1938-01-01,2022-01-01,NE
Omaha / Offutt Air Force Base,US,NE,72554,KOFF,41.1167,-95.9,319.0,America/Chicago,1948-01-12,2023-11-04,1948-01-13,2022-04-25,1948-01-01,2020-01-01,NE
Karl Stefan Memorial Airport,US,NE,72556,KOFK,41.9833,-97.4333,479.0,America/Chicago,1973-01-01,2023-11-04,1945-10-01,2023-10-31,1945-01-01,2022-01-01,NE
Sidney Municipal Airport,US,NE,72561,KSNY,41.1,-102.9833,1315.0,America/Denver,1977-08-27,2023-11-04,1948-01-01,2023-10-30,1948-01-01,2022-01-01,NE
North Platte Regional Airport,US,NE,72562,KLBF,41.1167,-100.6667,847.0,America/Chicago,1973-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,NE
Scottsbluff Heilig Field,US,NE,72566,KBFF,41.8667,-103.6,1209.0,America/Denver,1943-01-13,2023-11-04,1893-01-01,2023-10-30,1893-01-01,2022-01-01,NE
"Miller Field - Valentine, Ne",US,NE,72567,KVTN,42.8667,-100.55,789.0,America/Chicago,1948-01-01,2023-11-04,1948-01-01,2023-10-31,1948-01-01,2022-01-01,NE
Chadron / J And L Trailer Court,US,NE,,KCDR,42.8376,-103.0954,1005.0,America/Denver,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2005-01-01,2022-01-01,NE
"Concord, Concord Municipal Airport",US,NH,72605,KCON,43.1833,-71.5,105.0,America/New_York,1973-01-01,2023-11-04,1939-04-01,2023-10-31,1939-01-01,2022-01-01,NH
Lebanon / West Lebanon,US,NH,72611,KLEB,43.6261,-72.3042,184.0,America/New_York,1993-01-01,2023-11-04,1993-01-03,2022-04-25,2005-01-01,2022-01-01,NH
Mount Washington,US,NH,72613,KMWN,44.2667,-71.3,1909.0,America/New_York,2006-01-01,2023-11-04,1948-01-01,2023-11-01,1948-01-01,2022-01-01,NH
Berlin Municipal Airport,US,NH,72616,KBML,44.5833,-71.0167,353.0,America/New_York,2006-01-01,2023-11-04,1996-07-01,2023-10-30,1996-01-01,2022-01-01,NH
Atlantic City International,US,NJ,72407,KACY,39.4667,-74.0833,23.0,America/New_York,1947-01-01,2023-11-04,1947-01-01,2023-11-01,1947-01-01,2022-01-01,NJ
Lakehurst Naval Air Station,US,NJ,72409,KNEL,40.0333,-74.3167,31.0,America/New_York,1973-01-01,2023-08-18,1973-01-01,2022-04-21,2010-01-01,2021-01-01,NJ
Newark Airport,US,NJ,72502,KEWR,40.6833,-74.0,5.0,America/New_York,1973-01-01,2023-11-04,1893-01-01,2023-10-31,1893-01-01,2022-01-01,NJ
Belmar / Carmerville,US,NJ,,KBLM,40.1868,-74.1246,47.0,America/New_York,1983-04-21,2023-11-04,1992-04-17,2022-04-24,2020-01-01,2022-01-01,NJ
Millville / Farmingdale,US,NJ,,KMIV,39.3678,-75.0722,26.0,America/New_York,1973-01-01,2023-11-04,1973-01-02,2022-04-24,1999-01-01,2021-01-01,NJ
Teterboro,US,NJ,,KTEB,40.8501,-74.0608,3.0,America/New_York,1973-01-01,2023-11-04,1973-01-01,2022-04-24,2005-01-01,2022-01-01,NJ
Trenton / Altura,US,NJ,,KTTN,40.2767,-74.8135,65.0,America/New_York,1973-01-01,2023-11-04,1975-07-10,2022-04-24,2005-01-01,2021-01-01,NJ
Wrightstown / Pointville,US,NJ,,KWRI,40.0156,-74.5917,40.0,America/New_York,1942-08-01,2023-11-04,1942-08-12,2022-04-24,1942-01-01,2021-01-01,NJ
Roswell Industrial Air Centr,US,NM,72268,KROW,33.3,-104.5333,1118.0,America/Denver,1942-07-13,2023-11-04,1942-07-13,2023-10-31,1942-01-01,2022-01-01,NM
Truth Or Consequences Muni,US,NM,72271,KTCS,33.2333,-107.2667,1478.0,America/Denver,1979-01-01,2023-11-04,1950-05-26,2023-10-31,1950-01-01,2022-01-01,NM
Silver City / Grant,US,NM,72272,KSVC,32.6333,-108.15,1659.0,America/Denver,2005-01-01,2023-11-04,1948-07-02,2023-10-31,1948-01-01,2022-01-01,NM
Clayton Municipal Airpark,US,NM,72360,KCAO,36.45,-103.15,1513.0,America/Denver,1978-01-01,2023-11-04,1896-02-01,2023-10-31,1896-01-01,2022-01-01,NM
Albuquerque International  Airport,US,NM,72365,KABQ,35.0333,-106.6,1631.0,America/Denver,1941-07-01,2023-11-04,1931-03-01,2023-10-31,1931-01-01,2022-01-01,NM
